User,Team,Outcome,Game Length,Task Completed,All Tasks Completed,Time to complete all tasks,Sabotages Fixed,Murdered,Ejected,Night,Morning,Afternoon,Evening
1,1,1,424,3,0,0,2.0,1,0,1,0,0,0
1,1,0,981,7,1,588,1.0,0,0,1,0,0,0
1,1,1,693,3,0,0,0.0,0,0,1,0,0,0
1,1,0,310,4,0,0,0.0,0,0,1,0,0,0
1,1,0,982,7,1,736,0.0,1,0,1,0,0,0
1,1,0,1301,8,1,1118,1.0,1,0,1,0,0,0
1,1,1,1123,8,1,468,0.0,0,1,0,0,1,0
1,1,1,795,7,1,795,0.0,1,0,0,0,1,0
1,1,0,763,7,1,763,0.0,1,0,0,0,1,0
1,1,1,660,4,0,0,0.0,1,0,0,0,1,0
1,1,1,1063,7,1,719,0.0,0,0,0,0,1,0
1,1,0,826,6,0,0,0.0,1,0,0,0,1,0
1,1,1,1134,7,1,669,1.0,1,0,0,0,1,0
1,1,0,480,7,1,101,0.0,1,0,1,0,0,0
1,1,1,1086,7,1,574,0.0,1,0,1,0,0,0
1,1,1,778,7,1,543,1.0,1,0,1,0,0,0
1,1,1,897,7,1,890,0.0,1,0,1,0,0,0
1,1,0,663,7,1,634,0.0,1,0,1,0,0,0
1,1,0,883,2,0,0,0.0,1,0,1,0,0,0
1,1,0,514,3,0,0,1.0,1,0,1,0,0,0
1,1,0,332,8,1,332,0.0,0,0,0,0,0,1
1,1,1,1004,8,1,885,0.0,1,0,0,0,0,1
1,1,0,551,8,1,509,1.0,1,0,0,0,0,1
1,1,0,890,8,1,356,0.0,1,0,0,0,0,1
1,1,0,1069,8,1,1032,0.0,1,0,0,0,0,1
1,1,1,710,8,1,360,1.0,1,0,0,0,0,1
1,1,1,566,5,1,496,2.0,0,0,1,0,0,0
1,1,1,188,1,0,0,1.0,0,0,1,0,0,0
1,1,1,147,1,0,0,0.0,0,0,1,0,0,0
1,1,1,293,3,0,0,1.0,0,0,1,0,0,0
1,1,1,324,1,0,0,0.0,1,0,1,0,0,0
1,1,0,619,2,0,0,0.0,1,0,0,0,0,1
1,1,1,841,8,1,568,1.0,0,0,0,0,0,1
1,1,1,778,3,0,0,0.0,0,0,0,0,0,1
1,1,1,677,8,1,676,2.0,0,0,0,0,0,1
1,1,1,1335,8,1,840,3.0,1,0,0,0,0,1
1,1,1,912,5,0,0,0.0,1,0,1,0,0,0
1,1,1,576,4,0,0,0.0,0,0,1,0,0,0
1,1,1,628,5,0,0,0.0,0,0,1,0,0,0
1,1,1,723,7,0,0,0.0,0,0,1,0,0,0
1,1,1,930,7,0,0,1.0,0,0,0,0,0,1
1,1,0,722,8,1,328,0.0,1,0,0,0,0,1
1,1,0,860,6,0,0,0.0,0,0,0,0,0,1
1,1,0,782,8,1,530,0.0,0,0,0,0,0,1
1,1,0,313,7,0,0,0.0,0,0,0,0,0,1
1,1,1,405,7,0,0,0.0,1,0,0,0,0,1
1,1,0,314,6,0,0,1.0,1,0,0,0,0,1
1,1,1,466,8,1,466,0.0,0,0,0,0,0,1
1,1,0,1178,7,1,660,1.0,1,0,1,0,0,0
1,1,0,739,7,1,541,1.0,1,0,1,0,0,0
1,1,1,1106,8,1,872,1.0,1,0,1,0,0,0
1,1,0,1022,8,1,566,0.0,1,0,0,0,0,1
1,1,1,347,5,0,0,0.0,0,0,0,0,0,1
1,1,1,632,7,1,315,0.0,0,0,0,0,0,1
1,1,1,648,5,0,0,1.0,0,0,0,0,0,1
1,1,0,764,7,1,763,0.0,1,0,0,0,0,1
1,1,0,110,1,0,0,0.0,1,0,0,0,0,1
1,1,0,534,7,0,0,0.0,1,0,0,0,0,1
1,1,1,1453,8,1,806,1.0,1,0,0,0,0,1
1,1,1,947,3,0,0,0.0,1,0,1,0,0,0
1,1,1,735,7,1,328,0.0,1,0,1,0,0,0
1,1,1,1018,7,1,840,0.0,0,0,1,0,0,0
1,1,1,1040,8,1,299,0.0,1,0,0,0,0,1
1,1,1,688,4,0,0,1.0,0,0,0,0,0,1
1,1,0,753,4,0,0,0.0,1,0,0,0,0,1
1,1,1,1262,8,1,847,0.0,1,0,0,0,1,0
1,1,0,520,7,0,0,0.0,1,0,0,0,1,0
1,1,1,470,4,0,0,1.0,0,0,0,0,1,0
1,1,1,737,8,1,497,0.0,0,0,0,0,1,0
1,1,0,623,7,0,0,1.0,0,0,0,0,1,0
1,1,0,763,6,0,0,0.0,1,0,0,0,1,0
1,1,0,1297,7,1,790,0.0,1,0,0,0,1,0
1,1,0,700,7,0,0,1.0,1,0,1,0,0,0
1,1,1,689,8,1,301,0.0,1,0,1,0,0,0
1,1,1,691,8,1,345,0.0,0,0,1,0,0,0
1,1,1,636,8,1,415,0.0,0,0,1,0,0,0
1,1,0,672,8,1,463,0.0,1,0,1,0,0,0
2,1,1,449,4,0,0,2.0,1,0,1,0,0,0
2,1,0,504,8,1,354,1.0,1,0,1,0,0,0
2,1,1,565,5,0,0,1.0,0,0,1,0,0,0
2,1,1,941,9,1,702,0.0,1,0,1,0,0,0
2,1,1,754,7,1,667,1.0,0,0,0,0,0,1
2,1,0,962,7,1,486,1.0,0,0,0,0,0,1
2,1,0,629,6,0,0,0.0,0,1,0,0,0,1
2,1,0,480,3,0,0,0.0,0,1,0,0,0,1
2,1,0,667,7,1,454,0.0,0,0,0,0,0,1
2,1,0,302,2,0,0,1.0,0,0,0,0,1,0
2,1,1,319,5,0,0,0.0,1,0,0,0,1,0
2,1,1,748,4,0,0,1.0,0,0,0,0,0,1
2,1,1,891,7,1,535,1.0,0,0,0,0,0,1
2,1,1,820,8,1,480,1.0,1,0,0,0,1,0
