User,Team,Outcome,Game Length,Imposter Kills,Ejected,Night,Morning,Afternoon,Evening
1,0,1,485,2,0,1,0,0,0
1,0,0,952,3,1,0,0,1,0
1,0,0,1081,2,0,0,0,0,1
1,0,0,155,1,1,1,0,0,0
1,0,0,1179,2,0,0,0,0,1
1,0,1,763,5,0,0,0,0,1
1,0,1,950,1,0,0,0,0,1
1,0,0,899,2,0,0,0,0,1
1,0,0,774,2,1,0,0,0,1
1,0,1,1096,1,0,1,0,0,0
1,0,1,715,3,0,0,0,0,1
1,0,1,756,2,0,0,0,0,1
1,0,0,88,1,1,0,0,0,1
1,0,1,535,3,0,1,0,0,0
1,0,1,340,5,0,0,0,0,1
1,0,1,466,2,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1
1,0,0,634,2,1,0,0,0,1
1,0,0,691,1,0,0,0,0,1
1,0,1,719,2,0,0,0,1,0
1,0,1,49,2,0,0,0,1,0
1,0,1,527,3,0,0,0,1,0
1,0,1,1283,4,0,0,0,0,1
2,0,0,866,1,0,1,0,0,0
2,0,0,1265,3,1,0,0,0,1
2,0,1,247,2,0,0,0,0,1
2,0,0,713,2,1,0,0,0,1
2,0,1,278,1,0,0,0,0,1
2,0,0,538,1,0,0,0,0,1
2,0,0,822,3,1,0,0,0,1
2,0,0,755,1,0,0,0,0,1
2,0,1,483,2,0,0,0,1,0
2,0,1,555,3,0,0,0,1,0
2,0,0,573,1,1,0,0,1,0
2,0,1,305,1,0,0,0,1,0
2,0,0,399,0,0,0,0,0,1
2,0,0,995,2,0,0,0,1,0
2,0,0,768,2,0,0,0,1,0
2,0,0,555,0,0,1,0,0,0
2,0,1,463,2,0,0,0,0,1
2,0,1,194,8,0,1,0,0,0
2,0,1,537,2,0,1,0,0,0
2,0,1,546,1,0,0,0,0,1
2,0,0,1100,0,0,0,0,0,1
2,0,1,350,2,0,0,0,0,1
2,0,0,358,2,1,0,0,0,1
3,0,1,201,2,0,1,0,0,0
3,0,0,808,3,0,1,0,0,0
3,0,1,874,2,0,0,0,1,0
3,0,0,367,1,1,0,0,1,0
3,0,0,791,3,1,0,0,1,0
3,0,1,822,3,0,0,0,1,0
3,0,1,586,3,0,1,0,0,0
3,0,0,611,2,0,0,0,0,1
3,0,0,1011,1,0,0,0,0,1
3,0,1,360,3,0,0,0,0,1
3,0,0,842,3,1,0,0,0,1
3,0,0,408,1,1,0,0,0,1
3,0,0,375,1,1,0,0,0,1
3,0,1,19,1,0,0,0,0,1
3,0,0,184,1,0,0,0,0,1
3,0,1,617,3,0,0,0,0,1
3,0,0,447,1,1,0,0,1,0
3,0,0,421,2,1,0,0,1,0
3,0,0,822,1,1,1,0,0,0
3,0,0,302,1,1,0,0,0,1
3,0,0,476,2,1,0,0,0,1
3,0,1,618,4,0,0,0,0,1
3,0,0,572,0,1,0,0,0,1
4,0,0,345,2,1,0,0,0,1
4,0,0,529,3,1,0,0,0,1
4,0,0,556,3,1,0,0,0,1
4,0,0,405,3,0,1,0,0,0
4,0,1,580,3,0,1,0,0,0
4,0,1,562,4,0,1,0,0,0
4,0,0,436,1,0,1,0,0,0
4,0,0,544,2,0,1,0,0,0
4,0,0,405,3,1,0,0,0,1
4,0,0,505,2,0,1,0,0,0
4,0,1,452,2,0,1,0,0,0
4,0,1,744,4,0,1,0,0,0
4,0,0,1112,2,0,0,0,0,1
4,0,0,526,4,1,0,0,0,1
4,0,0,611,3,1,0,0,0,1
4,0,1,455,2,0,0,0,0,1
4,0,1,1020,4,0,0,0,0,1
4,0,0,400,3,1,0,0,0,1
4,0,1,142,5,0,0,0,0,1
5,0,0,1382,2,0,0,0,0,1
5,0,1,1045,2,0,0,0,0,1
5,0,1,1023,2,0,0,0,0,1
5,0,1,1463,1,0,0,0,0,1
6,0,1,865,4,1,0,0,1,0
6,0,0,1013,2,0,0,0,1,0
6,0,1,66,4,0,0,0,1,0
6,0,0,742,2,0,0,1,0,0
6,0,0,307,1,0,0,1,0,0
6,0,1,558,4,0,1,0,0,0
6,0,1,597,1,0,0,0,0,1
6,0,1,992,2,0,0,0,0,1
6,0,0,1236,1,0,0,0,1,0
6,0,1,758,4,0,0,1,0,0
6,0,1,948,6,0,0,1,0,0
6,0,0,1013,4,0,0,1,0,0
6,0,0,1038,1,1,0,0,0,1
6,0,1,869,3,0,0,0,1,0
7,0,0,372,1,0,0,0,1,0
7,0,0,1215,5,0,1,0,0,0
7,0,1,591,1,0,1,0,0,0
7,0,1,865,4,1,0,0,1,0
7,0,0,1013,2,0,0,0,1,0
7,0,1,66,4,0,0,0,1,0
7,0,0,742,2,0,0,1,0,0
7,0,0,307,1,0,0,1,0,0
7,0,1,558,4,0,1,0,0,0
7,0,1,597,1,0,0,0,0,1
7,0,1,992,2,0,0,0,0,1
7,0,0,1236,1,0,0,0,1,0
7,0,1,758,4,0,0,1,0,0
7,0,1,948,6,0,0,1,0,0
7,0,0,1013,4,0,0,1,0,0
8,0,0,499,2,0,0,0,0,1
8,0,1,300,3,0,0,0,0,1
8,0,1,563,3,0,0,0,0,1
8,0,0,919,1,1,0,0,1,0
8,0,1,815,4,0,0,0,0,1
8,0,1,742,3,0,0,0,0,1
8,0,0,1123,3,0,0,0,1,0
8,0,0,618,3,1,0,0,0,1
8,0,1,915,4,0,1,0,0,0
8,0,0,407,1,0,0,0,0,1
8,0,1,524,3,0,0,0,1,0
8,0,1,1011,3,0,0,0,1,0
8,0,0,993,4,1,0,0,1,0
8,0,0,606,1,1,0,0,1,0
8,0,1,230,1,0,0,1,0,0
8,0,0,406,1,0,0,1,0,0
8,0,1,852,2,0,1,0,0,0
8,0,1,1001,2,0,1,0,0,0
8,0,1,249,2,0,1,0,0,0
9,0,0,1204,3,0,0,0,0,1
9,0,0,1328,4,0,0,0,0,1
9,0,1,738,1,0,0,0,0,1
9,0,1,589,2,0,0,0,0,1
9,0,0,905,3,0,0,0,1,0
9,0,1,668,3,0,0,0,1,0
9,0,0,740,1,1,0,0,1,0
9,0,0,919,2,0,0,0,1,0
9,0,1,458,1,0,0,0,1,0
9,0,1,608,2,0,0,0,1,0
9,0,0,659,5,0,0,0,0,1
9,0,0,254,1,1,0,0,1,0
9,0,1,695,2,0,0,1,0,0
9,0,1,548,2,0,0,1,0,0
9,0,1,1061,4,0,0,0,1,0
9,0,1,841,4,0,0,0,1,0
9,0,0,755,2,0,0,0,0,1
9,0,1,764,1,0,0,0,1,0
9,0,1,751,2,0,0,1,0,0
9,0,1,315,2,0,0,0,1,0
9,0,0,662,2,0,0,1,0,0
10,0,0,336,2,0,0,0,1,0
10,0,0,904,3,0,0,0,1,0
10,0,0,660,1,1,0,0,1,0
10,0,0,1081,1,1,0,0,1,0
10,0,1,865,2,0,0,0,1,0
10,0,0,411,3,0,0,1,0,0
10,0,0,436,0,0,0,0,0,1
10,0,0,530,2,1,0,0,0,1
10,0,1,48,3,0,0,0,1,0
10,0,1,145,2,0,0,0,1,0
10,0,1,291,1,0,0,0,1,0
10,0,1,102,2,0,0,0,1,0
10,0,0,275,2,1,0,0,0,1
10,0,1,215,3,0,0,0,1,0
10,0,1,192,2,0,0,0,0,1
10,0,0,506,2,1,1,0,0,0
10,0,1,372,4,0,1,0,0,0
10,0,0,1042,1,0,0,0,1,0
10,0,1,419,2,0,0,0,1,0
10,0,1,131,2,0,0,0,1,0
10,0,1,29,1,0,0,0,1,0
10,0,1,462,1,0,0,0,0,1
10,0,1,811,3,0,0,0,0,1
10,0,0,1520,3,1,0,0,0,1
11,0,0,518,3,0,0,0,0,1
11,0,1,450,3,0,0,0,0,1
11,0,0,217,0,1,0,0,0,1
11,0,0,700,3,1,0,0,0,1
11,0,1,587,4,0,0,0,0,1
11,0,1,526,2,0,0,0,0,1
11,0,1,480,2,0,0,0,0,1
11,0,1,468,2,0,0,0,0,1
11,0,1,709,3,0,0,0,0,1
12,0,1,563,2,0,1,0,0,0
12,0,0,865,1,0,1,0,0,0
12,0,1,504,1,0,1,0,0,0
12,0,0,753,2,1,0,0,0,1
12,0,0,881,4,0,0,0,0,1
12,0,0,824,1,0,0,0,0,1
12,0,1,615,4,0,0,0,0,1
12,0,0,976,1,0,0,0,1,0
12,0,0,967,4,0,1,0,0,0
12,0,0,1017,3,0,1,0,0,0
12,0,1,641,1,1,1,0,0,0
12,0,1,273,2,0,1,0,0,0
12,0,1,157,1,0,1,0,0,0
12,0,1,505,2,0,0,0,0,1
12,0,0,962,2,0,1,0,0,0
12,0,0,151,2,1,0,0,1,0
12,0,1,227,3,0,0,0,1,0
12,0,1,552,3,0,0,0,1,0
12,0,0,1212,2,0,1,0,0,0
12,0,0,1049,2,0,0,0,0,1
12,0,1,629,2,0,0,0,0,1
13,0,1,697,3,0,0,0,1,0
13,0,1,588,3,0,0,0,1,0
13,0,1,511,2,0,0,0,1,0
13,0,0,963,2,0,0,0,1,0
13,0,0,326,2,0,0,0,1,0
13,0,1,113,1,0,0,0,1,0
13,0,1,149,2,0,0,0,1,0
13,0,1,343,5,0,0,0,1,0
13,0,1,924,3,0,0,0,1,0
13,0,1,1184,4,0,0,0,1,0
13,0,0,599,2,0,0,1,0,0
13,0,0,1188,3,0,0,0,1,0
13,0,1,562,4,0,0,0,0,1
13,0,1,125,1,0,0,0,1,0
13,0,1,793,3,0,0,0,0,1
13,0,0,1600,2,0,1,0,0,0
13,0,1,803,3,0,0,0,0,1
13,0,1,962,4,0,0,0,1,0
13,0,0,842,3,0,0,0,0,1
13,0,1,559,4,0,0,0,1,0
13,0,1,46,1,0,0,0,1,0
13,0,1,57,2,0,0,1,0,0
13,0,1,109,1,0,1,0,0,0
13,0,1,61,1,0,1,0,0,0
14,0,0,1355,3,0,0,0,0,1
14,0,1,750,3,0,0,0,0,1
14,0,0,1009,2,0,0,0,1,0
14,0,1,895,4,0,0,0,1,0
14,0,1,550,3,0,0,0,1,0
14,0,0,804,3,0,0,0,1,0
14,0,1,627,2,0,0,0,0,1
14,0,1,833,2,0,0,0,0,1
14,0,1,943,4,0,0,0,0,1
14,0,1,533,4,0,1,0,0,0
14,0,1,612,4,0,1,0,0,0
14,0,1,1185,3,0,0,0,0,1
14,0,0,345,1,0,0,0,0,1
14,0,1,201,2,0,0,0,0,1
14,0,1,270,1,0,0,0,1,0
14,0,1,307,2,0,0,0,1,0
14,0,1,529,2,0,1,0,0,0
14,0,1,565,3,0,0,0,0,1
14,0,1,1092,3,0,0,0,0,1
14,0,1,1022,3,0,0,0,0,1
14,0,1,537,2,0,0,0,0,1
14,0,0,473,2,0,0,0,0,1
14,0,0,636,1,0,0,0,0,1
14,0,1,187,1,1,1,0,0,0
14,0,0,793,2,0,0,0,0,1
14,0,0,724,2,0,1,0,0,0
14,0,0,929,2,0,0,0,0,1
14,0,1,723,2,0,0,0,0,1
14,0,1,781,4,0,0,0,0,1
15,0,0,1293,0,0,0,0,0,1
15,0,1,918,2,0,0,0,1,0
15,0,0,705,1,0,1,0,0,0
