Game Completed Date,Team,Outcome,Imposter Kills,Game Length,Ejected,Rank Change,Region/Game Code,User,Time_of_Day
12/13/2020 at 12:41:55 am EST,Imposter,Win,2,08m 05s,No,+++,Europe / QIRTNF,1,Night
12/11/2020 at 2:04:26 pm EST,Imposter,Loss,3,15m 52s,Yes,-,Europe / ONSJWQ,1,Afternoon
12/10/2020 at 10:41:43 pm EST,Imposter,Loss,2,18m 01s,No,-,NA / EYNONF,1,Evening
12/10/2020 at 12:30:51 am EST,Imposter,Loss,1,02m 35s,Yes,,Europe / KTQRWQ,1,Night
12/09/2020 at 11:52:22 pm EST,Imposter,Loss,2,19m 39s,No,-,Europe / BNDUNF,1,Evening
12/09/2020 at 11:18:13 pm EST,Imposter,Win,5,12m 43s,No,+++,Europe / BNDUNF,1,Evening
12/09/2020 at 10:49:00 pm EST,Imposter,Win,1,15m 50s,No,+++,Europe / BNDUNF,1,Evening
12/09/2020 at 10:13:30 pm EST,Imposter,Loss,2,14m 59s,No,-,Europe / BNDUNF,1,Evening
12/09/2020 at 9:06:43 pm EST,Imposter,Loss,2,12m 54s,Yes,-,Europe / EUUZDF,1,Evening
12/09/2020 at 12:39:08 am EST,Imposter,Win,1,18m 16s,No,+++,NA / TVPSDF,1,Night
12/08/2020 at 11:27:16 pm EST,Imposter,Win,3,11m 55s,No,+++,Europe / VTTXQQ,1,Evening
12/08/2020 at 10:03:02 pm EST,Imposter,Win,2,12m 36s,No,+++,Europe / VTTXQQ,1,Evening
12/08/2020 at 9:47:41 pm EST,Imposter,Loss,1,01m 28s,Yes,,Europe / RLNKUF,1,Evening
12/08/2020 at 12:30:22 am EST,Imposter,Win,3,08m 55s,No,+++,NA / FATWCF,1,Night
12/07/2020 at 11:24:17 pm EST,Imposter,Win,5,05m 40s,No,+++,NA / IKPWHF,1,Evening
12/07/2020 at 10:18:22 pm EST,Imposter,Win,2,07m 46s,No,+++,NA / IKPWHF,1,Evening
12/07/2020 at 10:01:00 pm EST,Imposter,Win,0,00m 00s,No,,NA / RTAXDF,1,Evening
12/07/2020 at 8:58:39 pm EST,Imposter,Loss,2,10m 34s,Yes,-,NA / ITURDF,1,Evening
12/06/2020 at 9:31:27 pm EST,Imposter,Loss,1,11m 31s,No,--,NA / JKQLUF,1,Evening
12/06/2020 at 3:14:08 pm EST,Imposter,Win,2,11m 59s,No,+++,Europe / HRGJOF,1,Afternoon
12/06/2020 at 2:57:33 pm EST,Imposter,Win,2,00m 49s,No,,Europe / HRGJOF,1,Afternoon
12/06/2020 at 2:55:28 pm EST,Imposter,Win,3,08m 47s,No,+++,Europe / HRGJOF,1,Afternoon
12/05/2020 at 11:45:54 pm EST,Imposter,Win,4,21m 23s,No,+++,Europe / RUFQCF,1,Evening
12/13/2020 at 1:22:51 am EST,Imposter,Loss,1,14m 26s,No,--,NA / KJYCCF,2,Night
12/12/2020 at 9:08:08 pm EST,Imposter,Loss,3,21m 05s,Yes,-,NA / JDVNCF,2,Evening
12/12/2020 at 7:27:56 pm EST,Imposter,Win,2,04m 07s,No,,NA / KMHWCF,2,Evening
12/07/2020 at 7:38:42 pm EST,Imposter,Loss,2,11m 53s,Yes,-,NA / PJBMVF,2,Evening
12/06/2020 at 8:53:12 pm EST,Imposter,Win,1,04m 38s,No,,NA / ZQVGNF,2,Evening
12/06/2020 at 8:43:25 pm EST,Imposter,Loss,1,08m 58s,No,--,NA / OFJUIF,2,Evening
12/06/2020 at 8:32:20 pm EST,Imposter,Loss,3,13m 42s,Yes,-,NA / UFWSBF,2,Evening
12/06/2020 at 8:00:17 pm EST,Imposter,Loss,1,12m 35s,No,--,NA / AUYZIF,2,Evening
12/06/2020 at 6:11:03 pm EST,Imposter,Win,2,08m 03s,No,+++,NA / DNWQDF,2,Afternoon
12/06/2020 at 4:02:47 pm EST,Imposter,Win,3,09m 15s,No,+++,NA / YNVBHF,2,Afternoon
12/06/2020 at 2:54:28 pm EST,Imposter,Loss,1,09m 33s,Yes,--,NA / DCXAGF,2,Afternoon
12/06/2020 at 2:43:41 pm EST,Imposter,Win,1,05m 05s,No,+++,NA / DCXAGF,2,Afternoon
12/05/2020 at 8:35:09 pm EST,Imposter,Loss,0,06m 39s,No,--,NA / JXVBHF,2,Evening
12/04/2020 at 5:30:21 pm EST,Imposter,Loss,2,16m 35s,No,-,NA / PYKXMF,2,Afternoon
